hit rate = 61.70551506256374


max value is 6627846.14578524
item	value	weight	take
1	1930000.0	36	true
2	25000.0	37	true
3	20000.0	27	true
4	15000.0	2	true
5	12000.0	14	true
6	1666.6666666666667	10	true
7	1428.5714285714287	26	true
8	7500.0	20	true
9	8888.888888888889	20	true
10	8000.0	24	true
11	75454.54545454546	33	true
12	69166.66666666667	36	true
13	110000.00000000001	34	true
14	102142.85714285714	26	true
15	50666.666666666664	11	true
16	47500.0	39	true
17	60000.0	8	true
18	56666.666666666664	44	true
19	68421.05263157895	34	true
20	65000.0	48	true
21	27619.04761904762	5	true
22	26363.636363636364	41	true
23	29565.217391304348	12	true
24	28333.333333333336	25	true
25	15200.0	41	true
26	14615.384615384617	47	true
27	31851.851851851854	26	true
28	30714.285714285717	17	true
29	66551.72413793104	49	true
30	64333.33333333333	36	true
31	36774.1935483871	4	true
32	35625.0	24	true
33	17575.757575757576	8	true
34	46176.470588235294	42	true
35	44857.142857142855	4	true
36	38611.11111111111	29	true
37	37567.56756756757	30	true
38	15263.15789473684	25	true
39	4102.5641025641025	26	true
40	49000.0	3	true
41	47804.87804878049	4	true
42	3809.5238095238096	38	true
43	28837.20930232558	35	true
44	28181.818181818184	40	true
45	29555.555555555555	26	true
46	41086.95652173913	24	true
47	40212.765957446805	17	true
48	27708.333333333336	33	true
49	17346.938775510203	20	true
50	17000.0	11	true
51	23725.490196078434	25	true
52	23269.23076923077	23	true
53	36415.09433962264	4	true
54	35740.740740740745	20	true
55	49272.72727272727	17	true
56	48392.857142857145	36	true
57	42982.45614035088	24	true
58	32241.37931034483	11	true
59	31694.915254237287	47	true
60	40833.33333333333	30	true
61	43442.62295081968	11	true
62	42741.93548387096	34	true
63	32063.492063492064	30	true
64	31562.5	18	true
65	42000.0	46	true
66	26666.666666666664	11	true
67	26268.65671641791	39	true
68	28970.58823529412	2	true
69	28550.72463768116	25	true
70	39000.0	7	true
71	37746.47887323944	33	true
72	37222.22222222222	32	true
73	9589.04109589041	47	true
74	27432.43243243243	1	true
75	27066.666666666668	5	true
76	9210.526315789473	26	true
77	5064.9350649350645	31	true
78	5000.0	26	true
79	4936.708860759494	46	true
80	4875.0	28	true
81	13580.246913580246	24	true
82	13414.634146341463	36	true
83	6987.951807228916	34	true
84	6904.761904761905	21	true
85	6470.588235294117	10	true
86	6395.348837209302	19	true
87	6551.724137931034	33	true
88	6477.272727272728	21	true
89	15730.337078651684	16	true
90	15555.555555555557	29	true
91	14945.054945054944	8	true
92	14782.608695652174	43	true
93	14623.655913978495	2	true
94	14468.085106382978	33	true
95	11157.894736842105	1	true
96	11041.666666666668	25	true
97	20412.37113402062	47	true
98	20204.081632653062	41	true
99	18888.88888888889	12	true
100	18700.0	33	true
101	297.029702970297	32	false
102	294.11764705882354	40	false
103	582.5242718446602	40	true
104	576.9230769230769	10	true
105	285.7142857142857	23	true
106	283.0188679245283	20	true
107	18411.21495327103	14	true
108	18240.74074074074	12	true
109	8440.366972477064	37	true
110	8363.636363636364	2	true
111	18558.558558558558	43	true
112	18392.857142857145	33	true
113	9469.026548672566	9	true
114	9385.964912280702	46	true
115	18086.956521739132	45	true
116	17931.034482758623	43	true
117	8888.888888888889	31	true
118	8813.559322033898	8	true
119	16974.789915966387	1	true
120	8583.333333333332	44	true
121	743.8016528925621	29	true
122	737.704918032787	42	true
123	8373.983739837398	24	true
124	806.4516129032257	25	true
125	800.0	8	true
126	714.2857142857143	5	true
127	708.6614173228347	46	true
128	1250.0	14	true
129	1240.3100775193798	46	true
130	2615.3846153846152	14	true
131	2595.4198473282445	12	true
132	3106.060606060606	1	true
133	1654.1353383458645	32	true
134	1641.7910447761194	22	true
135	14962.962962962964	25	true
136	3014.7058823529414	18	true
137	2846.7153284671535	27	true
138	2826.086956521739	13	true
139	2374.1007194244603	18	true
140	2357.1428571428573	36	true
141	14326.241134751774	49	true
142	14225.352112676055	22	true
143	9160.839160839161	49	true
144	9097.222222222223	43	true
145	7310.344827586207	8	true
146	7260.273972602739	35	true
147	13129.25170068027	44	true
148	7027.027027027027	46	true
149	6979.865771812081	43	true
150	6933.333333333334	18	true
151	6887.417218543045	23	true
152	6776.315789473683	12	true
153	6732.026143790849	2	true
154	10519.48051948052	5	true
155	10451.612903225807	43	true
156	10641.02564102564	23	true
157	10573.248407643312	34	true
158	569.620253164557	16	true
159	566.0377358490566	42	true
160	375.0	24	true
161	372.67080745341616	18	true
162	5802.469135802469	33	true
163	5766.871165644172	29	true
164	6219.512195121952	9	true
165	6666.666666666667	49	true
166	6144.578313253012	24	true
167	6586.826347305389	38	true
168	4940.476190476191	30	true
169	5917.15976331361	24	true
170	4882.35294117647	37	true
171	5847.953216374269	34	true
172	5058.13953488372	20	true
173	18439.306358381502	13	true
174	18333.333333333332	48	true
175	4971.428571428572	46	true
176	8181.818181818182	28	true
177	8135.593220338984	43	true
178	11011.23595505618	44	true
179	10949.720670391062	41	true
180	13388.888888888889	4	true
181	13314.917127071823	32	true
182	274.7252747252747	27	false
183	273.224043715847	32	false
184	7500.0	44	true
185	7459.45945945946	28	true
186	9462.36559139785	15	true
187	9411.764705882353	39	true
188	10585.106382978724	45	true
189	10529.10052910053	32	true
190	10526.315789473683	13	true
191	10523.560209424084	16	true
192	10000.0	3	true
193	9948.186528497408	12	true
194	10000.0	23	true
195	9948.71794871795	49	true
196	8010.2040816326535	25	true
197	7969.543147208122	4	true
198	10000.0	4	true
199	9949.748743718594	13	true
200	8900.0	23	true
201	8855.721393034826	12	true
202	8415.841584158416	4	true
203	8374.384236453201	38	true
204	15196.07843137255	41	true
205	15121.951219512195	7	true
206	8543.68932038835	36	true
207	8502.415458937197	25	true
208	8461.538461538463	16	true
209	8421.052631578948	32	true
210	15047.619047619048	15	true
211	14976.303317535545	40	true
212	3113.2075471698113	17	true
213	3098.5915492957747	49	true
214	4813.084112149533	36	true
215	4790.697674418604	13	true
216	5277.777777777778	38	true
217	5253.4562211981565	24	true
218	14311.926605504586	43	true
219	14246.575342465754	20	true
220	454.5454545454545	37	true
221	452.48868778280547	30	true
222	6081.081081081081	7	true
223	6053.811659192825	21	true
224	89.28571428571429	7	true
225	88.88888888888889	34	false
226	44.24778761061947	23	false
227	44.052863436123346	19	false
228	43.85964912280702	23	false
229	43.66812227074236	32	false
230	43.47826086956522	47	false
231	43.29004329004329	27	false
232	43.10344827586207	20	false
233	42.918454935622314	4	false
234	42.73504273504273	47	false
235	42.5531914893617	22	false
236	42.3728813559322	42	false
237	42.19409282700422	4	false
238	42.016806722689076	16	false
239	41.84100418410042	5	false
240	125.0	20	false
241	207.4688796680498	36	false
242	206.6115702479339	45	false
243	205.76131687242798	3	true
244	204.91803278688525	6	true
245	81.63265306122449	41	false
246	81.30081300813008	41	false
247	80.97165991902834	3	true
