Knapsack-size-in-%,0,1,2,3,4,5,6,7,8,9,10
100,0.774413,0.703146,0.760881,0.750989,0.776532,0.822042,0.800589,0.759524,0.784218,0.788203,0.772308
20,0.692657,0.583146,0.659675,0.64528,0.640156,0.721319,0.680157,0.634127,0.662244,0.677949,0.659892
18,0.668938,0.571011,0.65076,0.636235,0.620339,0.70551,0.674516,0.620899,0.6527,0.66227,0.646533
16,0.652031,0.551461,0.636078,0.616733,0.611995,0.694896,0.662987,0.607143,0.633147,0.649826,0.631832
14,0.626798,0.537528,0.624017,0.608819,0.600522,0.657859,0.642875,0.592857,0.622905,0.641862,0.615513
12,0.60106,0.519775,0.61484,0.589599,0.590613,0.633469,0.595781,0.557936,0.606145,0.616227,0.592403
10,0.589452,0.48427,0.601206,0.573488,0.574185,0.545167,0.554329,0.507672,0.56797,0.593828,0.558074
8,0.539995,0.428989,0.574987,0.524307,0.543155,0.486902,0.498896,0.468783,0.505354,0.539074,0.509441
6,0.464547,0.356854,0.50236,0.41775,0.461538,0.414182,0.429728,0.399471,0.386406,0.455699,0.427374
4,0.382791,0.258427,0.418196,0.30017,0.384876,0.330623,0.334805,0.318254,0.297253,0.325037,0.333715
2,0.262175,0.161573,0.291557,0.196156,0.256845,0.192864,0.241599,0.207407,0.205773,0.207566,0.22115
