MEASURE USED:
max - lru_order
where max = 10000
lru_size  =  3000

hit rate = 8.176820318913405


max value is 1996045
item	value	weight	take
1	9999	36	false
2	9998	37	false
3	9997	27	false
4	9996	2	true
5	9995	14	false
6	9994	10	false
7	9993	26	false
8	9992	20	false
9	9991	20	false
10	9990	24	false
11	9989	33	false
12	9988	36	false
13	9987	34	false
14	9986	26	false
15	9985	11	false
16	9984	39	false
17	9983	8	false
18	9982	44	false
19	9981	34	false
20	9980	48	false
21	9979	5	true
22	9978	41	false
23	9977	12	false
24	9976	25	false
25	9975	41	false
26	9974	47	false
27	9973	26	false
28	9972	17	false
29	9971	49	false
30	9970	36	false
31	9969	4	true
32	9968	24	false
33	9967	8	false
34	9966	42	false
35	9965	4	true
36	9964	29	false
37	9963	30	false
38	9962	25	false
39	9961	26	false
40	9960	3	true
41	9959	4	true
42	9958	38	false
43	9957	35	false
44	9956	40	false
45	9955	26	false
46	9954	24	false
47	9953	17	false
48	9952	33	false
49	9951	20	false
50	9950	11	false
51	9949	25	false
52	9948	23	false
53	9947	4	true
54	9946	20	false
55	9945	17	false
56	9944	36	false
57	9943	24	false
58	9942	11	false
59	9941	47	false
60	9940	30	false
61	9939	11	false
62	9938	34	false
63	9937	30	false
64	9936	18	false
65	9935	46	false
66	9934	11	false
67	9933	39	false
68	9932	2	true
69	9931	25	false
70	9930	7	false
71	9929	33	false
72	9928	32	false
73	9927	47	false
74	9926	1	true
75	9925	5	true
76	9924	26	false
77	9923	31	false
78	9922	26	false
79	9921	46	false
80	9920	28	false
81	9919	24	false
82	9918	36	false
83	9917	34	false
84	9916	21	false
85	9915	10	false
86	9914	19	false
87	9913	33	false
88	9912	21	false
89	9911	16	false
90	9910	29	false
91	9909	8	false
92	9908	43	false
93	9907	2	true
94	9906	33	false
95	9905	1	true
96	9904	25	false
97	9903	47	false
98	9902	41	false
99	9901	12	false
100	9900	33	false
101	9899	32	false
102	9898	40	false
103	9897	40	false
104	9896	10	false
105	9895	23	false
106	9894	20	false
107	9893	14	false
108	9892	12	false
109	9891	37	false
110	9890	2	true
111	9889	43	false
112	9888	33	false
113	9887	9	false
114	9886	46	false
115	9885	45	false
116	9884	43	false
