MEASURE USED:
value=(max-count)*frequency;   per item in LRU list
max=10000;
count=index of item in lru list
frequency=number of occurences of the item

hit rate = 14.087415109828601


max value is 175519122
item	value	weight	take
1	1929807	36	false
2	49990	37	false
3	59982	27	false
4	59976	2	false
5	59970	14	false
6	9994	10	false
7	9993	26	false
8	59952	20	false
9	79928	20	false
10	79920	24	false
11	829087	33	false
12	829004	36	false
13	1428141	34	false
14	1427998	26	false
15	758860	11	false
16	758784	39	false
17	1018266	8	false
18	1018164	44	false
19	1297530	34	false
20	1297400	48	false
21	578782	5	false
22	578724	41	false
23	678436	12	false
24	678368	25	false
25	379050	41	false
26	379012	47	false
27	857678	26	false
28	857592	17	false
29	1924403	49	false
30	1924210	36	false
31	1136466	4	true
32	1136352	24	false
33	578086	8	false
34	1564662	42	false
35	1564505	4	true
36	1384996	29	false
37	1384857	30	false
38	577796	25	false
39	159376	26	false
40	1952160	3	true
41	1951964	4	true
42	159328	38	false
43	1234668	35	false
44	1234544	40	false
45	1324015	26	false
46	1881306	24	false
47	1881117	17	false
48	1323616	33	false
49	845835	20	false
50	845750	11	false
51	1203829	25	false
52	1203708	23	false
53	1919771	4	true
54	1919578	20	false
55	2695095	17	true
56	2694824	36	false
57	2436035	24	false
58	1859154	11	true
59	1858967	47	false
60	2435300	30	false
61	2633835	11	true
62	2633570	34	false
63	2007274	30	false
64	2007072	18	false
65	2712255	46	false
66	1748384	11	true
67	1748208	39	false
68	1956604	2	true
69	1956407	25	false
70	2710890	7	true
71	2660972	33	false
72	2660704	32	false
73	694890	47	false
74	2014978	1	true
75	2014775	5	true
76	694680	26	false
77	386997	31	false
78	386958	26	false
79	386919	46	false
80	386880	28	false
81	1091090	24	false
82	1090980	36	false
83	575186	34	false
84	575128	21	false
85	545325	10	false
86	545270	19	false
87	565041	33	false
88	564984	21	false
89	1387540	16	false
90	1387400	29	false
91	1347624	8	true
92	1347488	43	false
93	1347352	2	true
94	1347216	33	false
95	1049930	1	true
96	1049824	25	false
97	1960794	47	false
98	1960596	41	false
99	1851487	12	true
100	1851300	33	false
101	29697	32	false
102	29694	40	false
103	59382	40	false
104	59376	10	false
105	29685	23	false
106	29682	20	false
107	1948921	14	true
108	1948724	12	true
109	909972	37	false
110	909880	2	true
111	2037134	43	false
112	2036928	33	false
113	1057909	9	false
114	1057802	46	false
115	2056080	45	false
116	2055872	43	false
117	1027832	31	false
118	1027728	8	false
119	1995962	1	true
120	1017640	44	false
121	88911	29	false
122	88902	42	false
123	1017331	24	false
124	98760	25	false
125	98750	8	false
126	88866	5	false
127	88857	46	false
128	157952	14	false
129	157936	46	false
130	335580	14	false
131	335546	12	false
132	404588	1	true
133	217074	32	false
134	217052	22	false
135	1992730	25	false
136	404424	18	false
137	384657	27	false
138	384618	13	false
139	325413	18	false
140	325380	36	false
141	1991518	49	false
142	1991316	22	false
143	1291267	49	false
144	1291136	43	false
145	1044630	8	false
146	1044524	35	false
147	1901629	44	false
148	1024608	46	false
149	1024504	43	false
150	1024400	18	false
151	1024296	23	false
152	1014344	12	false
153	1014241	2	true
154	1595052	5	true
155	1594890	43	false
156	1634104	23	false
157	1633938	34	false
158	88578	16	false
159	88569	42	false
160	59040	24	false
161	59034	18	false
162	924772	33	false
163	924678	29	false
164	1003272	9	false
165	1081850	49	false
166	1003068	24	false
167	1081630	38	false
168	816056	30	false
169	983100	24	false
170	815890	37	false
171	982900	34	false
172	855036	20	false
173	3134813	13	true
174	3134494	48	false
175	854775	46	false
176	1414656	28	false
177	1414512	43	false
178	1925112	44	false
179	1924916	41	false
